26-06-07 01:24:09: Training starting...
global_step=183688, episodic_return=-134.4
global_step=183968, episodic_return=-109.5
global_step=184892, episodic_return=-119.1
global_step=187280, episodic_return=-133.0
global_step=188568, episodic_return=-171.5
global_step=188996, episodic_return=-94.7
global_step=189288, episodic_return=-142.5
global_step=189332, episodic_return=-115.4
global_step=189356, episodic_return=-175.2
global_step=189692, episodic_return=-127.1
global_step=190012, episodic_return=-127.8
global_step=190132, episodic_return=-116.3
global_step=190136, episodic_return=-101.1
global_step=192048, episodic_return=-125.1
global_step=193704, episodic_return=-143.4
global_step=193724, episodic_return=-117.7
global_step=194280, episodic_return=-135.4
global_step=196092, episodic_return=-120.0
global_step=196348, episodic_return=-147.9
global_step=196412, episodic_return=-98.7
global_step=196632, episodic_return=-124.6
global_step=196672, episodic_return=-115.3
global_step=197280, episodic_return=-157.4
global_step=197756, episodic_return=-132.9
global_step=197968, episodic_return=-119.8
global_step=198496, episodic_return=-132.9
global_step=198552, episodic_return=-137.5
global_step=198816, episodic_return=-122.1
global_step=199240, episodic_return=-123.4
global_step=199384, episodic_return=-116.7
global_step=200152, episodic_return=-138.2
global_step=200712, episodic_return=-114.9
global_step=200988, episodic_return=-122.0
global_step=201360, episodic_return=-124.4
global_step=202492, episodic_return=-88.2
global_step=204488, episodic_return=-136.7
global_step=205640, episodic_return=-84.9
global_step=206520, episodic_return=-183.9
global_step=207760, episodic_return=-88.1
global_step=210384, episodic_return=-164.7
global_step=210888, episodic_return=-92.8
global_step=211140, episodic_return=-168.7
global_step=212544, episodic_return=-147.5
global_step=212920, episodic_return=-97.0
global_step=216784, episodic_return=-93.0
global_step=217288, episodic_return=-101.2
global_step=218944, episodic_return=-102.6
global_step=219320, episodic_return=-99.0
global_step=223184, episodic_return=-91.1
global_step=223664, episodic_return=-122.3
global_step=223688, episodic_return=-108.9
global_step=224424, episodic_return=-137.4
global_step=224668, episodic_return=-135.1
global_step=225344, episodic_return=-105.4
global_step=225672, episodic_return=-126.0
global_step=225688, episodic_return=-127.3
global_step=225720, episodic_return=-103.4
global_step=226156, episodic_return=-132.0
global_step=226548, episodic_return=-121.3
global_step=226816, episodic_return=-138.6
global_step=226840, episodic_return=-140.0
global_step=227912, episodic_return=-124.4
global_step=227992, episodic_return=-153.9
global_step=228136, episodic_return=-124.4
global_step=229272, episodic_return=-103.8
global_step=229936, episodic_return=-120.5
global_step=231904, episodic_return=-215.5
global_step=233428, episodic_return=-189.5
global_step=233848, episodic_return=-225.9
global_step=234536, episodic_return=-102.5
global_step=238304, episodic_return=-112.5
global_step=238884, episodic_return=-179.2
global_step=239704, episodic_return=-105.8
global_step=240248, episodic_return=-112.1
global_step=240936, episodic_return=-113.4
global_step=241976, episodic_return=-120.9
global_step=245284, episodic_return=-94.6
global_step=246140, episodic_return=-130.1
global_step=246648, episodic_return=-70.6
global_step=248376, episodic_return=-111.3
global_step=249276, episodic_return=-130.7
global_step=251684, episodic_return=-110.6
global_step=251960, episodic_return=-209.4
global_step=254184, episodic_return=-177.6
global_step=255676, episodic_return=-105.9
global_step=258084, episodic_return=-112.8
global_step=258360, episodic_return=-112.1
global_step=260584, episodic_return=-115.4
global_step=262076, episodic_return=-120.6
global_step=264484, episodic_return=-136.4
global_step=264760, episodic_return=-133.2
global_step=264892, episodic_return=-116.9
global_step=266984, episodic_return=-137.6
global_step=268476, episodic_return=-142.2
global_step=270092, episodic_return=-156.0
global_step=271160, episodic_return=-131.0
global_step=271292, episodic_return=-130.0
global_step=271620, episodic_return=-153.1
global_step=271868, episodic_return=-115.7
global_step=273384, episodic_return=-94.5
global_step=277692, episodic_return=-130.0
global_step=278020, episodic_return=-129.8
global_step=278268, episodic_return=-132.4
